template,count
[C:5]-[CH;D3;+0:6](-[OH;D1;+0:7])-[C;H0;D3;+0:2](=[C;D1;H2:1])-[C:3]#[N;D1;H0:4]>>[C;D1;H2:1]=[CH;D2;+0:2]-[C:3]#[N;D1;H0:4].[C:5]-[CH;D2;+0:6]=[O;H0;D1;+0:7],18
[#8:5]-[C:4](=[O;D1;H0:6])-[C:2](=[C;D1;H2:3])-[CH2;D2;+0:1]-[c;H0;D3;+0:8](:[c:7]):[c:9]>>C-C(=O)-O-[CH2;D2;+0:1]-[C:2](=[C;D1;H2:3])-[C:4](-[#8:5])=[O;D1;H0:6].[c:7]:[cH;D2;+0:8]:[c:9],18
[#8:6]-[C:5](=[O;D1;H0:7])-[C:3](=[C;D1;H2:4])-[C@H;D3;+0:1](-[c:2])-[S;H0;D2;+0:9]-[C:8]>>C-C(-C)(-C)-O-C(=O)-O-[CH;D3;+0:1](-[c:2])-[C:3](=[C;D1;H2:4])-[C:5](-[#8:6])=[O;D1;H0:7].[C:8]-[SH;D1;+0:9],18
[#8:7]-[C:8](=[O;D1;H0:9])-[C;H0;D3;+0:10](=[C;D1;H2:11])-[CH;D3;+0:1]1-[c:2]:[c:3]-[CH;D2;+0:4]=[C;H0;D3;+0:5](-[c:6])-[N;H0;D3;+0:12]-1-[c:13]>>O=[CH;D2;+0:1]-[c:2]:[c:3]-[C;H0;D2;+0:4]#[C;H0;D2;+0:5]-[c:6].[#8:7]-[C:8](=[O;D1;H0:9])-[CH;D2;+0:10]=[C;D1;H2:11].[NH2;D1;+0:12]-[c:13],18
[#8:1]-[C:2](=[O;D1;H0:3])-[C;H0;D3;+0:4](=[C;D1;H2:5])-[CH;D3;+0:8](-[OH;D1;+0:9])-[C:7]=[C:6]>>[#8:1]-[C:2](=[O;D1;H0:3])-[CH;D2;+0:4]=[C;D1;H2:5].[C:6]=[C:7]-[CH;D2;+0:8]=[O;H0;D1;+0:9],17
[#7:1]-[C;H0;D4;+0:2](-[CH3;D1;+0:3])(-[C:4](-[#8:5])=[O;D1;H0:6])-[C;H0;D3;+0:8](=[C;D1;H2:7])-[C:9](-[C;D1;H3:10])=[O;D1;H0:11]>>[#7:1]-[C;H0;D3;+0:2](=[CH2;D1;+0:3])-[C:4](-[#8:5])=[O;D1;H0:6].[C;D1;H2:7]=[CH;D2;+0:8]-[C:9](-[C;D1;H3:10])=[O;D1;H0:11],17
[#16:11]-[N;H0;D3;+0:12]1-[CH2;D2;+0:7]-[C@@H;D3;+0:6](-[C:8](-[#8:9])=[O;D1;H0:10])-[C@;H0;D4;+0:1](-[c:2])(-[C:3](-[#7:4])=[O;D1;H0:5])-[CH;D2;+0:14]=[C;H0;D3;+0:13]-1-[c:15]>>C-C(-C)(-C)-O-C(=O)-O-[C;H0;D4;+0:1](-[c:2])(-[C:3](-[#7:4])=[O;D1;H0:5])-[C;H0;D3;+0:6](=[CH2;D1;+0:7])-[C:8](-[#8:9])=[O;D1;H0:10].[#16:11]-[N;H0;D2;+0:12]=[C;H0;D3;+0:13](-[CH3;D1;+0:14])-[c:15],17
[C:4]=[C;H0;D3;+0:5](-[C:6]=[O;D1;H0:7])-[CH;D3;+0:2](-[C:1])-[OH;D1;+0:3]>>[C:1]-[CH;D2;+0:2]=[O;H0;D1;+0:3].[C:4]=[CH;D2;+0:5]-[C:6]=[O;D1;H0:7],17
[#8:1]-[C:2](=[O;D1;H0:3])-[C;H0;D3;+0:4](=[C;D1;H2:5])-[C@@H;D3;+0:7](-[OH;D1;+0:6])-[c:8]>>[#8:1]-[C:2](=[O;D1;H0:3])-[CH;D2;+0:4]=[C;D1;H2:5].[O;H0;D1;+0:6]=[CH;D2;+0:7]-[c:8],17
[#8:4]-[C:5](=[O;D1;H0:6])-[CH;D3;+0:7](-[C:9]=[O;D1;H0:10])-[CH2;D2;+0:8]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>O=S(=O)(-[O-])-[c;H0;D3;+0:1](:[c:2]):[c:3].[#8:4]-[C:5](=[O;D1;H0:6])-[C;H0;D3;+0:7](=[CH2;D1;+0:8])-[C:9]=[O;D1;H0:10],17
