template,count
[#7;a:7]:[n;H0;D3;+0:8](:[c:9])-[c;H0;D3;+0:4](:[c:5]):[c:6].[O;D1;H0:3]=[C:2]-[OH;D1;+0:1]>>C-C(-C)(-C)-[O;H0;D2;+0:1]-[C:2]=[O;D1;H0:3].C-C1(-C)-O-B(-[c;H0;D3;+0:4](:[c:5]):[c:6])-O-C-1(-C)-C.[#7;a:7]:[nH;D2;+0:8]:[c:9],19
[O;D1;H0:4]=[C:5]-[N;H0;D3;+0:6](-[C:7]=[O;D1;H0:8])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>O-B(-O)-[c;H0;D3;+0:1](:[c:2]):[c:3].[O;D1;H0:4]=[C:5]-[NH;D2;+0:6]-[C:7]=[O;D1;H0:8],19
[#16:4]-[N;H0;D3;+0:5](-[c:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>O-B(-O)-[c;H0;D3;+0:1](:[c:2]):[c:3].[#16:4]-[NH;D2;+0:5]-[c:6],19
[c:10]:[c;H0;D3;+0:9](:[c:11])-[c;H0;D3;+0:8]1:[cH;D2;+0:7]:[c:6]:[c:5]:[n;H0;D3;+0:4]:1-[c;H0;D3;+0:1](:[c:2]):[c:3]>>O-B(-O)-[c;H0;D3;+0:1](:[c:2]):[c:3].[NH2;D1;+0:4]-[c:5]:[c:6]-[C;H0;D2;+0:7]#[C;H0;D2;+0:8]-[c;H0;D3;+0:9](:[c:10]):[c:11],18
[c:2]:[c;H0;D3;+0:1](:[c:3])-[NH;D2;+0:4]-[c:5]>>C-C1(-C)-O-B(-[c;H0;D3;+0:1](:[c:2]):[c:3])-O-C-1(-C)-C.[NH2;D1;+0:4]-[c:5],18
[CH3;D1;+0:1]-[O;H0;D2;+0:4]-[C:3]=[O;D1;H0:2]>>O-B(-O)-[CH3;D1;+0:1].[O;D1;H0:2]=[C:3]-[OH;D1;+0:4],18
[c:5]-[O;H0;D2;+0:4]-[CH;D3;+0:1]1-[C:2]-[C:3]-1>>F-[B-](-F)(-F)-[CH;D3;+0:1]1-[C:2]-[C:3]-1.[OH;D1;+0:4]-[c:5],18
[C;D1;H2:4]=[C:5]1-[C:6]=[C:7]-[C:8](=[O;D1;H0:9])-[N;H0;D3;+0:10]-1-[c;H0;D3;+0:1](:[c:2]):[c:3]>>O-B(-O)-[c;H0;D3;+0:1](:[c:2]):[c:3].[C;D1;H2:4]=[C:5]1-[C:6]=[C:7]-[C:8](=[O;D1;H0:9])-[NH;D2;+0:10]-1,18
[#7;a:4]:[c:5]:[c:6]1:[c:7]:[#7;a:8]:[c:9]:[n;H0;D3;+0:10]:1-[c;H0;D3;+0:1](:[c:2]):[c:3]>>O-B(-O)-[c;H0;D3;+0:1](:[c:2]):[c:3].[#7;a:4]:[c:5]:[c:6]1:[c:7]:[#7;a:8]:[c:9]:[nH;D2;+0:10]:1,17
[c:2]:[c;H0;D3;+0:1](:[c:3])-[n;H0;D3;+0:6]1:[c:7]:[c:8]:[#7;a:4]:[c:5]:1>>O-B(-O)-[c;H0;D3;+0:1](:[c:2]):[c:3].[#7;a:4]1:[c:5]:[nH;D2;+0:6]:[c:7]:[c:8]:1,17
