template,count
[#8:3]-[C:4](=[O;D1;H0:6])-[NH;D2;+0:5]-[CH;D3;+0:1](-[c:2])-[P;H0;D4;+0:8](-[#8:7])(-[#8:9])=[O;D1;H0:10]>>O=[CH;D2;+0:1]-[c:2].[#8:3]-[C:4](-[NH2;D1;+0:5])=[O;D1;H0:6].[#8:7]-[PH;D3;+0:8](-[#8:9])=[O;D1;H0:10],17
[CH3;D1;+0:5]-[O;H0;D2;+0:1].[CH;D3;+0:2]-[c:3]:[cH;D2;+0:4].[c:7]:[cH;D2;+0:6]>>[O;H0;D1;+0:1]=[CH;D2;+0:2]-[c:3]:[cH;D2;+0:4]:[cH;D2;+0:5]:[cH;D2;+0:6]:[c:7],17
[#8:3]-[P;H0;D4;+0:4](-[#8:5])(=[O;H0;D1;+0:6])-[CH;D3;+0:1](-[c:2])-[NH;D2;+0:8]-[C:7]>>O=[CH;D2;+0:1]-[c:2].[#8:3]-[P;H0;D3;+0:4](-[#8:5])-[OH;D1;+0:6].[C:7]-[NH2;D1;+0:8],16
[#7;a:8]:[c:7]:[c:6]-[CH;D3;+0:5](-[NH;D2;+0:9]-[c:10])-[P;H0;D4;+0:2](-[#8:3])(-[#8:4])=[O;H0;D1;+0:1]>>C-C-[O;H0;D2;+0:1]-[P;H0;D3;+0:2](-[#8:3])-[#8:4].O=[CH;D2;+0:5]-[c:6]:[c:7]:[#7;a:8].[NH2;D1;+0:9]-[c:10],16
[#8:7]-[P;H0;D4;+0:8](-[#8:9])(=[O;H0;D1;+0:10])-[CH;D3;+0:1](-[NH;D2;+0:11]-[c:12])-[c:2]1:[c:3]:[#7;a:4]:[#7;a:5]:[c:6]:1>>O=[CH;D2;+0:1]-[c:2]1:[c:3]:[#7;a:4]:[#7;a:5]:[c:6]:1.[#8:7]-[P;H0;D3;+0:8](-[#8:9])-[OH;D1;+0:10].[NH2;D1;+0:11]-[c:12],16
[C:2]-[N;H0;D3;+0:3](-[C:4])-[CH2;D2;+0:1]-[P;H0;D4;+0:6](=[O;D1;H0:5])(-[c:7])-[c:8]>>O=[CH2;D1;+0:1].[C:2]-[NH;D2;+0:3]-[C:4].[O;D1;H0:5]=[PH;D3;+0:6](-[c:7])-[c:8],16
[C:2]-[NH;D2;+0:3]-[CH2;D2;+0:1]-[P;H0;D4;+0:5](=[O;D1;H0:4])(-[c:6])-[c:7]>>O=[CH2;D1;+0:1].[C:2]-[NH2;D1;+0:3].[O;D1;H0:4]=[PH;D3;+0:5](-[c:6])-[c:7],16
[#7;a:4]:[c:3]:[c:2](:[c:5]:[#7;a:6])-[CH;D3;+0:1](-[NH;D2;+0:11]-[c:12])-[P;H0;D4;+0:8](-[#8:7])(-[#8:9])=[O;D1;H0:10]>>O=[CH;D2;+0:1]-[c:2](:[c:3]:[#7;a:4]):[c:5]:[#7;a:6].[#8:7]-[PH;D3;+0:8](-[#8:9])=[O;D1;H0:10].[NH2;D1;+0:11]-[c:12],16
[#8:7]-[P;H0;D4;+0:8](-[#8:9])(=[O;D1;H0:10])-[CH;D3;+0:1](-[c:2])-[NH;D2;+0:6]-[c:5]:[#7;a:4]:[#8;a:3]>>O=[CH;D2;+0:1]-[c:2].[#8;a:3]:[#7;a:4]:[c:5]-[NH2;D1;+0:6].[#8:7]-[PH;D3;+0:8](-[#8:9])=[O;D1;H0:10],15
[#8:5]-[P;H0;D4;+0:6](-[#8:7])(=[O;D1;H0:8])-[CH;D3;+0:1](-[NH;D2;+0:9]-[c:10])-[c:2]:[c:3]:[#8;a:4]>>O=[CH;D2;+0:1]-[c:2]:[c:3]:[#8;a:4].[#8:5]-[PH;D3;+0:6](-[#8:7])=[O;D1;H0:8].[NH2;D1;+0:9]-[c:10],15
